datetime,cpu,mem
Thu Oct 27 13:50:20 GMT 2022,4.7,1375636
Thu Oct 27 13:50:21 GMT 2022,5.5,1372617
Thu Oct 27 13:50:22 GMT 2022,5.5,1402800
Thu Oct 27 13:50:24 GMT 2022,5.5,1403066
Thu Oct 27 13:50:25 GMT 2022,5.5,1406863
Thu Oct 27 13:50:26 GMT 2022,5.5,1413080
