datetime,cpu,mem
Thu Oct 27 13:42:16 GMT 2022,3.3,1360347
Thu Oct 27 13:42:17 GMT 2022,3.3,1404702
Thu Oct 27 13:42:19 GMT 2022,22,1415244
Thu Oct 27 13:42:20 GMT 2022,22,1395867
Thu Oct 27 13:42:21 GMT 2022,22,1400025
Thu Oct 27 13:42:23 GMT 2022,22,1403545
Thu Oct 27 13:42:24 GMT 2022,43,1411048
Thu Oct 27 13:42:25 GMT 2022,43,1402441
Thu Oct 27 13:42:26 GMT 2022,43,1401670
Thu Oct 27 13:42:28 GMT 2022,43,1383557
Thu Oct 27 13:42:29 GMT 2022,32,1385050
Thu Oct 27 13:42:30 GMT 2022,32,1385194
Thu Oct 27 13:42:32 GMT 2022,32,1385042
Thu Oct 27 13:42:33 GMT 2022,32,1385118
Thu Oct 27 13:42:34 GMT 2022,32,1386754
Thu Oct 27 13:42:35 GMT 2022,28,1385371
Thu Oct 27 13:42:37 GMT 2022,28,1385479
Thu Oct 27 13:42:38 GMT 2022,28,1387065
