datetime,cpu,mem
Thu Oct 27 13:14:27 GMT 2022,4.7,1390345
Thu Oct 27 13:14:28 GMT 2022,4.7,1448964
Thu Oct 27 13:14:30 GMT 2022,19,1443004
Thu Oct 27 13:14:31 GMT 2022,19,1443552
Thu Oct 27 13:14:32 GMT 2022,19,1443896
Thu Oct 27 13:14:33 GMT 2022,19,1455723
Thu Oct 27 13:14:35 GMT 2022,41,1434950
Thu Oct 27 13:14:36 GMT 2022,41,1440976
Thu Oct 27 13:14:37 GMT 2022,41,1439920
Thu Oct 27 13:14:39 GMT 2022,41,1418948
Thu Oct 27 13:14:40 GMT 2022,37,1420545
Thu Oct 27 13:14:41 GMT 2022,37,1420393
Thu Oct 27 13:14:42 GMT 2022,37,1420525
Thu Oct 27 13:14:43 GMT 2022,37,1420341
Thu Oct 27 13:14:45 GMT 2022,37,1421968
Thu Oct 27 13:14:46 GMT 2022,29,1421052
Thu Oct 27 13:14:47 GMT 2022,29,1420864
Thu Oct 27 13:14:49 GMT 2022,29,1421057
