datetime,cpu,mem
Thu Oct 27 13:31:32 GMT 2022,5,1385427
Thu Oct 27 13:31:34 GMT 2022,5,1432806
Thu Oct 27 13:31:35 GMT 2022,18,1445754
Thu Oct 27 13:31:36 GMT 2022,18,1426382
Thu Oct 27 13:31:37 GMT 2022,18,1430104
Thu Oct 27 13:31:39 GMT 2022,18,1432126
Thu Oct 27 13:31:40 GMT 2022,42,1431336
Thu Oct 27 13:31:41 GMT 2022,42,1431647
Thu Oct 27 13:31:43 GMT 2022,42,1431206
Thu Oct 27 13:31:44 GMT 2022,42,1447766
Thu Oct 27 13:31:45 GMT 2022,32,1446934
Thu Oct 27 13:31:46 GMT 2022,32,1446982
Thu Oct 27 13:31:48 GMT 2022,32,1447054
Thu Oct 27 13:31:49 GMT 2022,32,1448599
Thu Oct 27 13:31:50 GMT 2022,29,1447328
Thu Oct 27 13:31:52 GMT 2022,29,1447512
Thu Oct 27 13:31:53 GMT 2022,29,1447464
Thu Oct 27 13:31:54 GMT 2022,29,1449288
