datetime,cpu,mem
Thu Oct 27 13:59:51 GMT 2022,5,1407012
Thu Oct 27 13:59:52 GMT 2022,5,1406261
Thu Oct 27 13:59:53 GMT 2022,5,1449168
Thu Oct 27 13:59:55 GMT 2022,5,1426726
Thu Oct 27 13:59:56 GMT 2022,5,1431721
Thu Oct 27 13:59:57 GMT 2022,43,1430477
Thu Oct 27 13:59:59 GMT 2022,43,1425336
Thu Oct 27 14:00:00 GMT 2022,43,1426377
Thu Oct 27 14:00:01 GMT 2022,43,1420209
Thu Oct 27 14:00:03 GMT 2022,36,1424214
Thu Oct 27 14:00:04 GMT 2022,36,1406558
Thu Oct 27 14:00:05 GMT 2022,36,1406378
Thu Oct 27 14:00:06 GMT 2022,36,1404629
Thu Oct 27 14:00:08 GMT 2022,29,1403374
Thu Oct 27 14:00:09 GMT 2022,29,1403342
Thu Oct 27 14:00:10 GMT 2022,29,1403458
Thu Oct 27 14:00:12 GMT 2022,29,1405166
