datetime,cpu,mem
Thu Oct 27 14:26:31 GMT 2022,3.5,1397801
Thu Oct 27 14:26:33 GMT 2022,3.5,1419684
Thu Oct 27 14:26:34 GMT 2022,19,1427699
Thu Oct 27 14:26:36 GMT 2022,19,1436709
Thu Oct 27 14:26:37 GMT 2022,19,1439417
Thu Oct 27 14:26:38 GMT 2022,19,1445926
Thu Oct 27 14:26:40 GMT 2022,39,1444448
Thu Oct 27 14:26:41 GMT 2022,39,1444389
Thu Oct 27 14:26:43 GMT 2022,39,1444023
Thu Oct 27 14:26:44 GMT 2022,39,1429329
Thu Oct 27 14:26:46 GMT 2022,28,1427985
Thu Oct 27 14:26:47 GMT 2022,28,1427881
Thu Oct 27 14:26:48 GMT 2022,28,1428173
Thu Oct 27 14:26:50 GMT 2022,28,1429737
Thu Oct 27 14:26:51 GMT 2022,25,1428353
Thu Oct 27 14:26:53 GMT 2022,25,1428489
Thu Oct 27 14:26:54 GMT 2022,25,1430330
