datetime,cpu,mem
Thu Oct 27 12:56:35 GMT 2022,5.1,1413742
Thu Oct 27 12:56:36 GMT 2022,4.4,1410647
Thu Oct 27 12:56:37 GMT 2022,4.4,1449875
Thu Oct 27 12:56:39 GMT 2022,4.4,1430977
Thu Oct 27 12:56:40 GMT 2022,4.4,1434626
Thu Oct 27 12:56:41 GMT 2022,42,1437005
Thu Oct 27 12:56:43 GMT 2022,42,1437660
Thu Oct 27 12:56:44 GMT 2022,42,1447339
Thu Oct 27 12:56:45 GMT 2022,42,1436162
Thu Oct 27 12:56:47 GMT 2022,36,1434818
Thu Oct 27 12:56:48 GMT 2022,36,1436250
Thu Oct 27 12:56:49 GMT 2022,36,1436377
Thu Oct 27 12:56:51 GMT 2022,36,1434953
Thu Oct 27 12:56:52 GMT 2022,29,1433568
Thu Oct 27 12:56:53 GMT 2022,29,1433702
Thu Oct 27 12:56:55 GMT 2022,29,1433881
Thu Oct 27 12:56:56 GMT 2022,29,1435469
