datetime,cpu,mem
Thu Oct 27 13:52:59 GMT 2022,42,1370593
Thu Oct 27 13:53:00 GMT 2022,4,1370763
Thu Oct 27 13:53:02 GMT 2022,4,1420163
Thu Oct 27 13:53:03 GMT 2022,4,1408101
Thu Oct 27 13:53:04 GMT 2022,4,1411136
Thu Oct 27 13:53:05 GMT 2022,43,1419898
Thu Oct 27 13:53:07 GMT 2022,43,1414176
Thu Oct 27 13:53:08 GMT 2022,43,1414212
Thu Oct 27 13:53:09 GMT 2022,43,1428984
Thu Oct 27 13:53:11 GMT 2022,37,1427930
Thu Oct 27 13:53:12 GMT 2022,37,1428494
Thu Oct 27 13:53:13 GMT 2022,37,1428522
Thu Oct 27 13:53:15 GMT 2022,37,1427015
Thu Oct 27 13:53:16 GMT 2022,29,1425685
Thu Oct 27 13:53:17 GMT 2022,29,1425829
Thu Oct 27 13:53:19 GMT 2022,29,1425869
Thu Oct 27 13:53:20 GMT 2022,29,1427526
Thu Oct 27 13:53:21 GMT 2022,26,1428081
