datetime,cpu,mem
Thu Oct 27 13:04:53 GMT 2022,19,1401677
Thu Oct 27 13:04:54 GMT 2022,5.3,1399592
Thu Oct 27 13:04:55 GMT 2022,5.3,1407143
Thu Oct 27 13:04:57 GMT 2022,5.3,1418007
Thu Oct 27 13:04:59 GMT 2022,5.3,1422617
Thu Oct 27 13:05:00 GMT 2022,42,1426593
Thu Oct 27 13:05:01 GMT 2022,42,1426722
Thu Oct 27 13:05:03 GMT 2022,42,1425483
Thu Oct 27 13:05:04 GMT 2022,42,1446217
Thu Oct 27 13:05:06 GMT 2022,28,1445034
Thu Oct 27 13:05:07 GMT 2022,28,1442695
Thu Oct 27 13:05:08 GMT 2022,28,1442955
Thu Oct 27 13:05:10 GMT 2022,28,1444844
Thu Oct 27 13:05:11 GMT 2022,35,1443684
Thu Oct 27 13:05:13 GMT 2022,35,1441012
Thu Oct 27 13:05:14 GMT 2022,35,1441488
Thu Oct 27 13:05:16 GMT 2022,35,1443112
Thu Oct 27 13:05:17 GMT 2022,32,1441964
Thu Oct 27 13:05:18 GMT 2022,32,1464614
Thu Oct 27 13:05:20 GMT 2022,32,1464496
Thu Oct 27 13:05:21 GMT 2022,32,1465988
Thu Oct 27 13:05:23 GMT 2022,31,1464656
Thu Oct 27 13:05:24 GMT 2022,31,1464704
Thu Oct 27 13:05:25 GMT 2022,31,1464788
Thu Oct 27 13:05:27 GMT 2022,31,1466316
Thu Oct 27 13:05:28 GMT 2022,29,1464840
Thu Oct 27 13:05:30 GMT 2022,29,1465005
Thu Oct 27 13:05:31 GMT 2022,29,1465057
Thu Oct 27 13:05:32 GMT 2022,29,1466653
Thu Oct 27 13:05:34 GMT 2022,29,1465321
Thu Oct 27 13:05:35 GMT 2022,29,1465433
Thu Oct 27 13:05:37 GMT 2022,29,1465601
