datetime,cpu,mem
Thu Oct 27 14:13:11 GMT 2022,6.3,1400466
Thu Oct 27 14:13:13 GMT 2022,4.6,1398458
Thu Oct 27 14:13:14 GMT 2022,4.6,1419437
Thu Oct 27 14:13:16 GMT 2022,4.6,1431282
Thu Oct 27 14:13:17 GMT 2022,4.6,1433027
Thu Oct 27 14:13:18 GMT 2022,42,1432778
Thu Oct 27 14:13:20 GMT 2022,42,1434005
Thu Oct 27 14:13:21 GMT 2022,42,1433789
Thu Oct 27 14:13:23 GMT 2022,42,1450931
Thu Oct 27 14:13:24 GMT 2022,30,1450524
Thu Oct 27 14:13:25 GMT 2022,30,1451306
Thu Oct 27 14:13:27 GMT 2022,30,1451447
Thu Oct 27 14:13:28 GMT 2022,30,1453590
Thu Oct 27 14:13:30 GMT 2022,36,1452349
Thu Oct 27 14:13:31 GMT 2022,36,1452833
Thu Oct 27 14:13:33 GMT 2022,36,1453245
Thu Oct 27 14:13:34 GMT 2022,36,1455006
