datetime,cpu,mem
Thu Oct 27 14:10:38 GMT 2022,44,1435709
Thu Oct 27 14:10:39 GMT 2022,3.4,1357248
Thu Oct 27 14:10:40 GMT 2022,3.4,1440650
Thu Oct 27 14:10:41 GMT 2022,3.4,1440824
Thu Oct 27 14:10:43 GMT 2022,3.4,1440987
